miRNA,Target_Gene,Is_DEG,DEG_Expression_Direction,Predicted_Regulatory_Relationship
hsa-miR-6877-3p,PDLIM3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,RABGAP1L,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,CYP19A1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,ZBTB16,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,NTRK2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,INPP5F,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,IFI27,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,SLC6A2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,ZBTB47,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,TENT5D,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,TTBK2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,SAA1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,A1CF,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,BAAT,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,RIPOR2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,KIAA0319,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,NSMF,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,MAGEC2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,GYPC,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,ANKRD62,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,CEP85,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,HES6,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,MGST1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,GREM2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,TREML2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,FBXO17,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,SLC38A1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,GNE,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,TSPAN5,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,AFF1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,LMOD1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,CCN1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,IL12B,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,OSMR,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,C10orf99,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,CCDC9B,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,TSC22D3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,SSTR2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,EBF4,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,BCL6,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,SMIM3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,ANKS4B,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,ZBTB8A,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,CLDN4,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,LEP,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,SERPINA7,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,IL2RA,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,AVPR1B,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,PLA2G5,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,FTCD,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,OASL,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,NNMT,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,VSIG10L2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,ZNF507,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,GADD45B,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,CYP3A4,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,AGPAT5,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,KCNK10,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,FKBP5,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,GATA6,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,LRP3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,NDN,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,CCN4,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,SOCS6,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,PRLHR,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,ACTL8,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,JDP2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,ATOH8,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,SLC2A2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,MAT1A,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,TRNP1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,COPZ2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,SMOX,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,TPBG,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,DMTN,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,LYPD3,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,TMEM158,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,AKR1B10,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,ARSJ,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,BNIPL,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,SERPINI1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,FNDC4,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,C6,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,CGB7,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,NLRP4,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,SGCZ,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,RUNDC3B,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,SNCA,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,SAGE1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,KCNIP1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6877-3p,C2CD3,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,USP27X,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,RAI14,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,MYLIP,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,CGB5,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,CGB8,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6877-3p,CGB3,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,RABGAP1L,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,ZBTB16,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,NTRK2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,SOCS6,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,ZBTB47,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,TSPAN5,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,OASL,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,LHX3,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,SLC38A1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,ST6GALNAC1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,NECAB1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,TREML2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,SNCA,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,BNIPL,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,NSMF,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,F3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,FTCD,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,IL12B,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,CCDC9B,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,INPP5F,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,FAM167A,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,KCNE4,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,ADAMTS15,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,CLDN4,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,SGCZ,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,AGXT,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,LEP,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,ALDH1A1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,TAB3,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,TMEM119,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,KCNIP1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1269a,SIX4,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1269a,FKBP5,Yes,Up-regulated,Inconsistent pattern ↑↑
