miRNA,Total_Target_DEGs,Consistent_Inhibition_Count,Consistent_Derepression_Count,Inconsistent_Both_Up_Count,Inconsistent_Both_Down_Count,miRNA_log2FC,miRNA_Direction,miRNA_pvalue
hsa-miR-365a-5p,114,0,84,0,30,-0.713,Down-regulated,0.027511361
hsa-miR-3940-5p,103,0,65,0,38,-1.495,Down-regulated,0.014044858
hsa-miR-6877-3p,99,40,0,59,0,30.0,Up-regulated,8.66e-14
hsa-miR-3667-3p,98,38,0,60,0,2.095,Up-regulated,0.049103777
hsa-miR-4784,96,35,0,61,0,10.359,Up-regulated,0.010117283
hsa-miR-214-3p,82,27,0,55,0,0.632,Up-regulated,0.032417742
hsa-miR-4713-3p,81,0,55,0,26,-0.528,Down-regulated,0.026028971
hsa-miR-6859-5p,79,30,0,49,0,1.477,Up-regulated,0.010639163
hsa-miR-320c,77,24,0,53,0,0.798,Up-regulated,0.016776762
hsa-miR-138-5p,76,0,53,0,23,-0.885,Down-regulated,0.025391016
hsa-miR-27a-5p,73,0,52,0,21,-0.757,Down-regulated,0.023015619
hsa-miR-93-3p,71,0,48,0,23,-0.512,Down-regulated,0.022879563
hsa-miR-4664-5p,70,25,0,45,0,2.593,Up-regulated,0.044823668
hsa-miR-134-3p,66,27,0,39,0,0.954,Up-regulated,0.022065992
hsa-miR-874-5p,65,24,0,41,0,0.767,Up-regulated,0.039942838
hsa-miR-373-3p,65,0,42,0,23,-1.206,Down-regulated,0.006269512
hsa-miR-1269a,63,26,0,37,0,3.199,Up-regulated,1.32e-05
hsa-miR-652-3p,62,23,0,39,0,0.41,Up-regulated,0.042252994
hsa-miR-18b-5p,58,23,0,35,0,1.134,Up-regulated,0.027347383
hsa-miR-574-3p,56,19,0,37,0,0.722,Up-regulated,0.006791029
hsa-miR-3679-3p,56,20,0,36,0,1.684,Up-regulated,0.044050403
hsa-miR-1299,55,0,35,0,20,-1.857,Down-regulated,0.007790494
hsa-miR-31-5p,55,0,33,0,22,-0.486,Down-regulated,0.032942093
hsa-miR-497-5p,52,23,0,29,0,0.473,Up-regulated,0.017125316
hsa-miR-151b,50,18,0,32,0,0.579,Up-regulated,0.047016773
hsa-miR-5708,50,0,28,0,22,-1.844,Down-regulated,0.030800591
hsa-miR-5699-5p,50,18,0,32,0,1.29,Up-regulated,0.018290115
hsa-miR-27b-5p,45,19,0,26,0,0.401,Up-regulated,0.03850149
hsa-miR-519d-5p,40,0,24,0,16,-0.486,Down-regulated,0.007447514
hsa-miR-5683,38,20,0,18,0,1.007,Up-regulated,0.039533614
hsa-miR-195-5p,31,11,0,20,0,0.616,Up-regulated,0.023826105
hsa-miR-1302,23,0,14,0,9,-1.261,Down-regulated,0.032389322
hsa-miR-223-3p,23,11,0,12,0,0.588,Up-regulated,0.006138789
hsa-miR-1246,22,12,0,10,0,0.654,Up-regulated,0.022601549
hsa-miR-219b-3p,18,7,0,11,0,1.559,Up-regulated,0.038242872
hsa-miR-450a-1-3p,18,8,0,10,0,0.839,Up-regulated,0.016733648
hsa-miR-576-5p,17,0,7,0,10,-0.467,Down-regulated,0.018947406
hsa-miR-301b-3p,10,0,6,0,4,-0.737,Down-regulated,0.01645843
hsa-miR-1-3p,10,5,0,5,0,0.589,Up-regulated,0.012920135
hsa-miR-32-3p,10,2,0,8,0,0.538,Up-regulated,0.048954849
hsa-miR-548am-3p,8,5,0,3,0,1.085,Up-regulated,0.028373935
hsa-miR-548x-3p,3,1,0,2,0,4.151,Up-regulated,0.012058124
