miRNA,Target_Gene,Is_DEG,DEG_Expression_Direction,Predicted_Regulatory_Relationship,Database,Evidence_Type,miRNA_log2FC,miRNA_Direction,miRNA_pvalue,Target_log2FC,Target_Direction,Target_padj,Relationship_Category
hsa-miR-6877-3p,PDLIM3,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.612,Up-regulated,0.008786585,Inconsistent_Both_Up
hsa-miR-6877-3p,RABGAP1L,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-0.665,Down-regulated,0.022027507,Consistent_Inhibition
hsa-miR-6877-3p,CYP19A1,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-1.344,Down-regulated,0.017938909,Consistent_Inhibition
hsa-miR-6877-3p,ZBTB16,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,1.28,Up-regulated,0.017810079,Inconsistent_Both_Up
hsa-miR-6877-3p,NTRK2,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,1.822,Up-regulated,0.018697048,Inconsistent_Both_Up
hsa-miR-6877-3p,INPP5F,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-0.529,Down-regulated,0.037251845,Consistent_Inhibition
hsa-miR-6877-3p,IFI27,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.763,Up-regulated,0.020108749,Inconsistent_Both_Up
hsa-miR-6877-3p,SLC6A2,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-1.535,Down-regulated,0.037251845,Consistent_Inhibition
hsa-miR-6877-3p,ZBTB47,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,0.701,Up-regulated,0.046518873,Inconsistent_Both_Up
hsa-miR-6877-3p,TENT5D,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,19.863,Up-regulated,0.000250002,Inconsistent_Both_Up
hsa-miR-6877-3p,TTBK2,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,-0.85,Down-regulated,0.022233693,Consistent_Inhibition
hsa-miR-6877-3p,SAA1,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,2.44,Up-regulated,0.000699098,Inconsistent_Both_Up
hsa-miR-6877-3p,A1CF,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,30.0,Up-regulated,8.66e-14,18.84,Up-regulated,0.000776162,Inconsistent_Both_Up
