Gene_Symbol,Is_DEG,Expression_Direction,Is_DMR,Methylation_Direction,Predicted_Regulatory_Relationship,DEG_log2FC,DEG_padj,Methylation_Value,Relationship_Category,DMR_Index
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,3.039992226,Inconsistent_Both_Up,25551
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,1.502912355,Inconsistent_Both_Up,25552
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,3.039992226,Inconsistent_Both_Up,25553
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,1.502912355,Inconsistent_Both_Up,25554
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,3.039992226,Inconsistent_Both_Up,25555
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,3.039992226,Inconsistent_Both_Up,28219
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,3.039992226,Inconsistent_Both_Up,28220
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,1.502912355,Inconsistent_Both_Up,28221
KCNK10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,19.728,0.000288762,-2.644620676,Classic_Demethylation_Activation,28222
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,3.039992226,Inconsistent_Both_Up,28223
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,1.502912355,Inconsistent_Both_Up,28224
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,3.039992226,Inconsistent_Both_Up,37642
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,1.502912355,Inconsistent_Both_Up,37643
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,3.039992226,Inconsistent_Both_Up,37644
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,3.039992226,Inconsistent_Both_Up,37645
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,1.502912355,Inconsistent_Both_Up,37646
KCNK10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,19.728,0.000288762,-2.644620676,Classic_Demethylation_Activation,37647
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,3.039992226,Inconsistent_Both_Up,237439
KCNK10,Yes,Up-regulated,Yes,Hypomethylated,Demethylation promotes expression ↓↑,19.728,0.000288762,-2.644620676,Classic_Demethylation_Activation,237440
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,3.039992226,Inconsistent_Both_Up,237441
KCNK10,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑,19.728,0.000288762,3.039992226,Inconsistent_Both_Up,237442
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,26052
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,34315
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,98079
C2CD3,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓,-0.732,0.031468958,1.923239853,Classic_Methylation_Repression,123346
