Triplet_ID,Gene_Ensembl_ID,Gene_Symbol,miRNA_Name,Sample_Size,B12_Variable_Used,Target_log2FC,Target_Direction,miRNA_log2FC,miRNA_Direction,Methylation_Direction,Methylation_Value,Path_a,Path_a_pvalue,Path_b,Path_b_pvalue,Path_c,Path_c_prime,ACME,Total_Effect,Proportion_Mediated,R2_Mediator,R2_Outcome,Path_a_Significant,Path_b_Significant,Mediation_Significant
LHX8_hsa-miR-6877-3p_18962,ENSG00000162624,LHX8,hsa-miR-6877-3p,50,B12_numeric,29.91083438,Up-regulated,30.0,Up-regulated,Hypomethylated,-0.438134154,-0.00010360564299049609,0.12885973182376698,-0.1796921522304452,0.48474139178979514,-0.00020007690572427709,-0.00021869402669645753,1.861712097218138e-05,-0.00020007690572427709,-0.09304982454015633,0.05474781751580893,0.07998750466184112,False,False,False
LHX8_hsa-miR-6877-3p_18963,ENSG00000162624,LHX8,hsa-miR-6877-3p,50,B12_numeric,29.91083438,Up-regulated,30.0,Up-regulated,Hypomethylated,-0.515227874,-0.00010360564299049609,0.12885973182376698,-0.1796921522304452,0.48474139178979514,-0.00020007690572427709,-0.00021869402669645753,1.861712097218138e-05,-0.00020007690572427709,-0.09304982454015633,0.05474781751580893,0.07998750466184112,False,False,False
LHX8_hsa-miR-6877-3p_18964,ENSG00000162624,LHX8,hsa-miR-6877-3p,50,B12_numeric,29.91083438,Up-regulated,30.0,Up-regulated,Hypomethylated,-1.404394964,-0.00010360564299049609,0.12885973182376698,-0.1796921522304452,0.48474139178979514,-0.00020007690572427709,-0.00021869402669645753,1.861712097218138e-05,-0.00020007690572427709,-0.09304982454015633,0.05474781751580893,0.07998750466184112,False,False,False
LHX8_hsa-miR-1269a_18962,ENSG00000162624,LHX8,hsa-miR-1269a,50,B12_numeric,29.91083438,Up-regulated,3.199437988,Up-regulated,Hypomethylated,-0.438134154,-0.044651623568555295,0.11932819177472842,0.0006731386052187581,0.220424482171379,-0.00020007690572427709,-0.00017002017411458666,-3.005673160969034e-05,-0.00020007690572427709,0.15022589189334554,0.23650045530534003,0.09412977471361372,False,False,False
LHX8_hsa-miR-1269a_18963,ENSG00000162624,LHX8,hsa-miR-1269a,50,B12_numeric,29.91083438,Up-regulated,3.199437988,Up-regulated,Hypomethylated,-0.515227874,-0.044651623568555295,0.11932819177472842,0.0006731386052187581,0.220424482171379,-0.00020007690572427709,-0.00017002017411458666,-3.005673160969034e-05,-0.00020007690572427709,0.15022589189334554,0.23650045530534003,0.09412977471361372,False,False,False
LHX8_hsa-miR-1269a_18964,ENSG00000162624,LHX8,hsa-miR-1269a,50,B12_numeric,29.91083438,Up-regulated,3.199437988,Up-regulated,Hypomethylated,-1.404394964,-0.044651623568555295,0.11932819177472842,0.0006731386052187581,0.220424482171379,-0.00020007690572427709,-0.00017002017411458666,-3.005673160969034e-05,-0.00020007690572427709,0.15022589189334554,0.23650045530534003,0.09412977471361372,False,False,False
LHX8_novel_594_18962,ENSG00000162624,LHX8,novel_594,50,B12_numeric,29.91083438,Up-regulated,-15.87845051,Down-regulated,Hypomethylated,-0.438134154,0.00011281776427457284,0.012342069863208849,0.07608954612305051,0.8437713517942771,-0.00020007690572427709,-0.00020866115820254556,8.58425247826955e-06,-0.00020007690572427709,-0.04290476428148772,0.11367282004409207,0.07111425156727125,True,False,False
LHX8_novel_594_18963,ENSG00000162624,LHX8,novel_594,50,B12_numeric,29.91083438,Up-regulated,-15.87845051,Down-regulated,Hypomethylated,-0.515227874,0.00011281776427457284,0.012342069863208849,0.07608954612305051,0.8437713517942771,-0.00020007690572427709,-0.00020866115820254556,8.58425247826955e-06,-0.00020007690572427709,-0.04290476428148772,0.11367282004409207,0.07111425156727125,True,False,False
LHX8_novel_594_18964,ENSG00000162624,LHX8,novel_594,50,B12_numeric,29.91083438,Up-regulated,-15.87845051,Down-regulated,Hypomethylated,-1.404394964,0.00011281776427457284,0.012342069863208849,0.07608954612305051,0.8437713517942771,-0.00020007690572427709,-0.00020866115820254556,8.58425247826955e-06,-0.00020007690572427709,-0.04290476428148772,0.11367282004409207,0.07111425156727125,True,False,False
LHX8_hsa-miR-223-3p_18962,ENSG00000162624,LHX8,hsa-miR-223-3p,50,B12_numeric,29.91083438,Up-regulated,0.58831944,Up-regulated,Hypomethylated,-0.438134154,-0.08610180004634085,0.09819654036419867,0.0011681289258044158,0.00015345380336206915,-0.00020007690572427709,-9.94989025263184e-05,-0.00010057800319795874,-0.00020007690572427709,0.5026967147151093,0.1091446876042721,0.30537777518728837,False,True,False
LHX8_hsa-miR-223-3p_18963,ENSG00000162624,LHX8,hsa-miR-223-3p,50,B12_numeric,29.91083438,Up-regulated,0.58831944,Up-regulated,Hypomethylated,-0.515227874,-0.08610180004634085,0.09819654036419867,0.0011681289258044158,0.00015345380336206915,-0.00020007690572427709,-9.94989025263184e-05,-0.00010057800319795874,-0.00020007690572427709,0.5026967147151093,0.1091446876042721,0.30537777518728837,False,True,False
LHX8_hsa-miR-223-3p_18964,ENSG00000162624,LHX8,hsa-miR-223-3p,50,B12_numeric,29.91083438,Up-regulated,0.58831944,Up-regulated,Hypomethylated,-1.404394964,-0.08610180004634085,0.09819654036419867,0.0011681289258044158,0.00015345380336206915,-0.00020007690572427709,-9.94989025263184e-05,-0.00010057800319795874,-0.00020007690572427709,0.5026967147151093,0.1091446876042721,0.30537777518728837,False,True,False
