Gene,p_value,effect_size,mean_LB,mean_NB,mean_diff,composite_score
PLCH2,0.0008357168217272526,0.934222763652659,0.3472605298650526,0.37956003560773266,-0.032299505742680035,2.875482364347877
TNFRSF14-AS1,0.013320516023599963,0.7792785840789708,0.3464862463496291,0.38025586990374005,-0.03376962355411095,1.461520578631996
TNFRSF14,0.015478602442838574,0.7505764542253722,0.33194246730155436,0.3641366231589609,-0.03219415585740654,1.358744725303885
C1orf159,0.023903145867558404,0.7917363512718129,0.7704599708461908,0.7936266552252249,-0.02316668437903413,1.2838360713998433
SLC35E2B,0.033717668936863225,0.618528105578278,0.876573853901107,0.8887547991583673,-0.012180945257260323,0.9105614848027382
ATAD3A,0.03851496043112118,0.6308876645438171,0.828581978465096,0.8346779267099265,-0.006095948244830507,0.8923089285803583
SCNN1D,0.05310312455977325,0.6477828330938414,0.4834830385102157,0.5024154598796526,-0.018932421369436958,0.8258453288231364
RN7SL657P,0.07643094557954021,0.5671167606361927,0.6964058812573387,0.7050652103488165,-0.008659329091477819,0.6333167350040101
MRPL20,0.07643094557954021,0.5671167606361927,0.6964058812573387,0.7050652103488165,-0.008659329091477819,0.6333167350040101
GABRD,0.10172863141500606,0.6336694578260458,0.5039723980881262,0.5324630423170381,-0.0284906442289119,0.6289529278769456
UBE2J2,0.09619629624919565,0.5470300803541636,0.8552667409752418,0.8609671441986704,-0.005700403223428574,0.5562429686314457
LOC100129534,0.08103174924185103,0.4759637576520416,0.7004949893285686,0.710494508187125,-0.009999518858556433,0.519440564900564
MRPL20-DT,0.10751135969600566,0.5122253181873477,0.6850778758147382,0.6936113802043578,-0.008533504389619528,0.49611360128143256
GNB1,0.10751135969600566,0.5105025165755939,0.8378009020721743,0.8477380590989322,-0.009937157026757903,0.4944449892828588
MIR6808,0.12643061736676814,0.5399450186111281,0.7388559748087825,0.7709694904335692,-0.032113515624786704,0.48495039874728674
TNFRSF18,0.12643061736676814,0.4623498642252219,0.3389471633353587,0.35728602635780804,-0.01833886302244936,0.4152584861205241
LOC100996583,0.20845355458876536,0.603615209625712,0.4132415505076191,0.4397898868584741,-0.026548336350854962,0.4110563408716983
LOC124903823,0.11355139298344043,0.42082838025525304,0.8347863070625614,0.8208039936907919,0.013982313371769473,0.3976018239139826
SSU72,0.1555699325877425,0.46281517759037477,0.8001579172185869,0.8069910599256144,-0.006833142707027506,0.3739890674145266
MIR429,0.1635957256111319,0.444018515843468,0.35646378791698574,0.37543402206206006,-0.018970234145074316,0.34909981071677687
TMEM52,0.1635957256111319,0.36988199029020247,0.5453853581221084,0.5549692407076573,-0.009583882585548875,0.2908115949907271
MIR200B,0.2616164678785774,0.41474976577735306,0.36771416567645343,0.3868695529979897,-0.019155387321536266,0.24152327247914346
MIR200A,0.2616164678785774,0.41474976577735306,0.36771416567645343,0.3868695529979897,-0.019155387321536266,0.24152327247914346
LINC01342,0.1805773768084653,0.31607589680454506,0.41043844601716606,0.4199962013318769,-0.009557755314710814,0.23495080140168523
CDK11A,0.285304715907688,0.3932009867114409,0.8875235466759479,0.8911724158912193,-0.003648869215271411,0.2141730581227654
PEX10,0.31040225614615824,0.4119775777116082,0.5672643376890414,0.5748986465804538,-0.007634308891412367,0.20931556160450834
LOC284600,0.2616164678785774,0.3580489995989458,0.5481558022766031,0.5610049955660366,-0.012849193289433458,0.20850443623262657
ANKRD65-AS1,0.2732851201810752,0.3286962694971195,0.778680738867952,0.7528370422606177,0.02584369660733432,0.18518222368160728
KLHL17,0.21840551261012597,0.26657194233426,0.8785171564803713,0.8729309708798464,0.005586185600524929,0.17613378656605375
PERM1,0.33691523838231996,0.3690758656270144,0.4628252913252077,0.47679999794908473,-0.013974706623877009,0.17438072349964917
PLEKHN1,0.285304715907688,0.3157316406901271,0.6550159415208938,0.6449730158934422,0.010042925627451571,0.17197619873306164
TAS1R3,0.33691523838231996,0.35183084568669987,0.667876052042988,0.661445674027467,0.006430378015521043,0.1662328077619212
MMEL1-AS1,0.31040225614615824,0.3032263657188227,0.28275596811975023,0.2661714360414532,0.01658453207829702,0.1540617753672011
LINC02593,0.3507022236669548,0.33171856972614955,0.6115780379891702,0.631637357742157,-0.020059319752986804,0.15095234338020763
MIB2,0.3234817459216911,0.2917169033434798,0.7753950951107095,0.78638637906367,-0.010991283952960562,0.14298510476335352
CALML6,0.2616164678785774,0.2429130819179453,0.7207712258889776,0.7268215631670605,-0.006050337278082907,0.14145677059721673
MORN1,0.3507022236669548,0.30401175489899956,0.5629914692532872,0.5726573794595284,-0.00966591020624119,0.13834403921076496
SAMD11,0.364841654608659,0.2970972425589348,0.38844552183400655,0.39905119473696693,-0.010605672902960384,0.13009757030773925
ATAD3B,0.3234817459216911,0.2280304425923933,0.7946400677508008,0.7975002954330173,-0.0028602276822164985,0.11176917192527842
PRKCZ-AS1,0.42488347368209856,0.25553751562759225,0.8237594437567267,0.8193910811730942,0.00436836258363249,0.09499100178728735
LINC01786,0.39417090995164517,0.22923113217623595,0.5801125359261314,0.5908031490456318,-0.01069061311950037,0.09268168376505813
PRKCZ-DT,0.3507022236669548,0.19881798438214893,0.586919122155978,0.5793343350799979,0.007584787075980093,0.09047440628178084
TMEM88B,0.3507022236669548,0.17556061823980254,0.25969454270107384,0.2655630188028723,-0.00586847610179847,0.07989087481733195
ANKRD65,0.33691523838231996,0.14706850467000446,0.5670167905393859,0.5741157994850242,-0.007099008945638308,0.06948683085738394
MIR6727,0.44074988359834266,0.19122059134301042,0.8491701410456416,0.8517331805842288,-0.002563039538587164,0.06803777670178404
CPTP,0.5978625674290079,0.2759824822398004,0.7961981759704616,0.791508986483475,0.0046891894869866,0.0616541104016199
NDUFB4P8,0.5249869101903615,0.2024847077751471,0.5424075016342309,0.549489677433745,-0.00708217579951409,0.056665654239384765
MIR6726,0.4734806277722057,0.1650309021254304,0.8343224493108126,0.8318669437787015,0.0024555055321110464,0.05358516840165389
NADK,0.5427717015170068,0.18625282941962615,0.7287887210324698,0.7231676343643916,0.005621086668078257,0.049428297965864725
PUSL1,0.49033426450951045,0.1494626031476917,0.5667502346844937,0.5715606518930482,-0.004810417208554463,0.0462598350780034
PRXL2B,0.6359445511344555,0.215774963466492,0.3679223276962325,0.3778275272195405,-0.009905199523307984,0.04241720401047132
ISG15,0.7763905055505131,0.3403218839432583,0.3570948085121109,0.34332005399987603,0.013774754512234866,0.037408108029906816
TMEM240,0.6750141566504884,0.21167561963617437,0.6745728479045785,0.6670269403815559,0.0075459075230226436,0.03613030164057945
TTLL10,0.7352681529274933,0.23596815673726979,0.4000792137374285,0.4076224018932256,-0.007543188155797131,0.03151454887474085
SKI,0.6553614390103917,0.1517638099962843,0.7080287619382705,0.7044572475596227,0.0035715143786477777,0.027851560206773162
SLC35E2A,0.7352681529274933,0.19977110393041744,0.8594202762292692,0.8621379361092808,-0.0027176598800116025,0.026680278837732288
LINC01770,0.6948910198677665,0.1600599831998741,0.7377786297932194,0.7322426495806882,0.005535980212531211,0.025302810445277667
SDF4,0.7149798814655983,0.15848487666964836,0.7617685694296596,0.7640705485792744,-0.002301979149614719,0.023092225714660485
LOC100288175,0.7352681529274933,0.15041026462356938,0.5273662004054306,0.5328957875617076,-0.005529587156277049,0.020087929241316606
HES5,0.6948910198677665,0.12614190014979382,0.6471199426329679,0.6387791715376194,0.008340771095348476,0.019940927925199768
TNFRSF4,0.4569506196695641,0.051348435592412915,0.8928993929603217,0.892298003148609,0.0006013898117127603,0.017465180846268694
ATAD3C,0.6553614390103917,0.0927807302522337,0.7274672660883148,0.7293376851061716,-0.0018704190178567837,0.017027037570496773
LOC105378589,0.8392322130718609,0.2203948153855968,0.4256467695816302,0.43593256443110323,-0.010285794849473007,0.01677598048840588
DVL1,0.8604309737352772,0.17097145902006128,0.4830347448172326,0.49156668658015673,-0.008531941762924156,0.011161694618381504
FNDC10,0.7763905055505131,0.08420309443813118,0.23521114245583524,0.23727546809024352,-0.0020643256344082817,0.009255585966723299
B3GALT6,0.6167746941014318,0.03954007227768651,0.7824665748682931,0.7814912220347522,0.0009753528335408879,0.008298411515228829
ACAP3,0.7971974192691748,0.05987302300230931,0.7848787183628445,0.7857053351525225,-0.0008266167896779919,0.005893548081690977
FAAP20,0.8392322130718609,0.07473409403729091,0.7354532520037702,0.733935346576893,0.0015179054268772418,0.005688598895553768
C1QTNF12,0.8817307917391243,0.10082781496078247,0.484872141184327,0.48802948528151735,-0.0031573440971903732,0.0055116509201084225
CFAP74,0.8392322130718609,0.07073911748012582,0.576775682474453,0.5748401398398844,0.0019355426345686322,0.005384509851274824
LOC105378586,0.8604309737352772,0.0766125902464927,0.2807276219614677,0.28305181321432016,-0.0023241912528524367,0.005001573602727499
MMP23B,0.7557428276359095,0.03944532106655742,0.6180398087224733,0.6197690003919708,-0.0017291916694974763,0.004797575268538206
MXRA8,0.8817307917391243,0.05869204946174712,0.4692891864284821,0.4650201442402781,0.004269042188204009,0.003208341751179581
PANK4,0.8604309737352772,0.04372820007393113,0.7646995842938393,0.7651984657112187,-0.0004988814173794154,0.002854750250329424
INTS11,0.8604309737352772,0.042688374350315035,0.8494104384284628,0.8498251831461705,-0.000414744717707749,0.002786866304962972
NOC2L,0.5978625674290079,0.012299586750251864,0.8718113860733124,0.87196371547456,-0.0001523294012475418,0.002747710917156791
RER1,0.9031164959895642,0.061265625174095506,0.8770407658470372,0.8784218014744104,-0.0013810356273732394,0.0027113852888274005
TTLL10-AS1,0.8604309737352772,0.03736780712986028,0.5133609623177275,0.5145097504532286,-0.001148788135501011,0.0024395185847547783
AURKAIP1,0.9245727283322236,0.06817033719534267,0.8192152733776211,0.8181635114915862,0.001051761886034952,0.0023218081177034454
