feature,coefficient,abs_coefficient
LOC107984227,3.0306852212596094,3.0306852212596094
FEM1B,2.711230518520094,2.711230518520094
PLLP,2.6077935194384616,2.6077935194384616
OGDHL,-2.515048205208443,2.515048205208443
B12supplem,-1.8741502118849755,1.8741502118849755
v1p_FolicAcid,-1.1657354153769075,1.1657354153769075
MIR140,-1.1166745825708118,1.1166745825708118
NCRUPAR,-0.914847736144649,0.914847736144649
FTH1P7,-0.2226737463564294,0.2226737463564294
ING4,-0.2131389044499249,0.2131389044499249
v1p_MultivitTab,-0.20164085670931445,0.20164085670931445
F2R,-0.12654699954379145,0.12654699954379145
BMI,0.0,0.0
smoking,0.0,0.0
SPON1,0.0,0.0
parity,0.0,0.0
age,0.0,0.0
