Gene,p_value,effect_size
A1BG,0.6467674040054682,0.23765076191358814
A1BG-AS1,0.9478034802354203,0.08642872651854303
A2M-AS1,0.3947417052130072,0.3475202505750805
A2ML1,0.37095103453309664,0.28136497565306773
A2ML1-AS1,0.3050688106228865,0.1050856920335424
A4GALT,0.498738821650313,0.2440029726112095
AAAS,0.8785934392551416,0.03436188008779791
AACS,0.9478034802354203,0.2516516316319638
AACSP1,0.5557349624423149,0.1895719699944261
AADACL2-AS1,0.9131160800723744,0.016930875467539595
AADACL4,0.498738821650313,0.046492065363079565
AADAT,0.445008718746736,0.20009026644475678
AAK1,0.810299496070296,0.08953743254548069
AAMDC,0.04241488053789996,0.7765292786270892
AAMP,0.3947417052130072,0.353175298352247
AANAT,0.16920192165920167,0.5336403456823555
AARS1,0.4194324996066613,0.3838510667771575
AARSD1,0.3480712878701422,0.332393269599838
AATBC,0.6467674040054682,0.12233911517829779
AATF,0.3050688106228865,0.17629109739192333
AATK,0.3261094520204889,0.24683052793425914
ABAT,0.10170693003109327,0.6220078511380467
ABCA11P,0.498738821650313,0.3800796531629101
ABCA12,0.034284167396226625,0.9264948359518778
ABCA13,0.3261094520204889,0.3395121300307591
ABCA15P,0.16920192165920167,0.5171262004702165
ABCA17P,0.21355772865776912,0.48716218399686123
ABCA2,0.3947417052130072,0.3630529447610077
ABCA3,0.6784245040488326,0.010351586528911681
ABCA7,0.00558214360906498,1.2870690023998745
ABCA9-AS1,0.16920192165920167,0.5005332436456599
ABCB10,0.28494907768465494,0.20689850173978744
ABCB10P1,0.13214331982716349,0.6642830705616992
ABCB4,0.3480712878701422,0.4051741197683167
ABCB6,0.3050688106228865,0.33351862267417126
ABCB8,0.21355772865776912,0.2681172813080512
ABCB9,1.0,0.1048572219219111
ABCC1,0.3050688106228865,0.45138809851896294
ABCC10,0.498738821650313,0.26796184358692654
ABCC11,0.810299496070296,0.4170771727900421
ABCC12,0.9825901131969854,0.15107994624969956
ABCC3,0.2657465520914202,0.5489903912669282
ABCC8,0.18314652532853137,0.49900326755565794
ABCD1,0.7106595685403921,0.15885777263888273
ABCD4,0.5268434347302196,0.29378903006049606
ABCF1,0.7766531265771661,0.03631522163735116
ABCF2P2,0.5268434347302196,0.13394623395096558
ABCF3,0.3480712878701422,0.24656232459895708
ABCG1,0.6467674040054682,0.17189832605633004
ABCG4,0.28494907768465494,0.2659471582843639
ABCG5,0.04241488053789996,0.9201970555929807
ABCG8,0.15606926343164354,0.5729487159350475
ABHD1,0.012090025148399776,1.0206412790760349
ABHD11,0.8785934392551416,0.10724258534588837
ABHD12,0.24745429076477554,0.5294696904951627
ABHD12B,0.3480712878701422,0.33546634852148416
ABHD13,0.615737058040257,0.28369516849092574
ABHD14A,0.15606926343164354,0.5921094080124817
ABHD14A-ACY1,0.9131160800723744,0.019072644013660826
ABHD14B,0.5268434347302196,0.24125470534664895
