Triplet_ID,Gene_Ensembl_ID,Gene_Symbol,miRNA_Name,DMR_Index,Target_log2FC,Target_Direction,Target_padj,miRNA_log2FC,miRNA_Direction,miRNA_padj,Methylation_Direction,Methylation_Value,DMR_pvalue,DMR_qvalue
LHX8_hsa-miR-6877-3p_18962,ENSG00000162624,LHX8,hsa-miR-6877-3p,18962,29.91083438,Up-regulated,2.79e-10,30.0,Up-regulated,1.91e-10,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-6877-3p_18963,ENSG00000162624,LHX8,hsa-miR-6877-3p,18963,29.91083438,Up-regulated,2.79e-10,30.0,Up-regulated,1.91e-10,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-6877-3p_18964,ENSG00000162624,LHX8,hsa-miR-6877-3p,18964,29.91083438,Up-regulated,2.79e-10,30.0,Up-regulated,1.91e-10,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-1269a_18962,ENSG00000162624,LHX8,hsa-miR-1269a,18962,29.91083438,Up-regulated,2.79e-10,3.199437988,Up-regulated,0.014516677,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-1269a_18963,ENSG00000162624,LHX8,hsa-miR-1269a,18963,29.91083438,Up-regulated,2.79e-10,3.199437988,Up-regulated,0.014516677,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-1269a_18964,ENSG00000162624,LHX8,hsa-miR-1269a,18964,29.91083438,Up-regulated,2.79e-10,3.199437988,Up-regulated,0.014516677,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_novel_594_18962,ENSG00000162624,LHX8,novel_594,18962,29.91083438,Up-regulated,2.79e-10,-15.87845051,Down-regulated,0.057098973,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_novel_594_18963,ENSG00000162624,LHX8,novel_594,18963,29.91083438,Up-regulated,2.79e-10,-15.87845051,Down-regulated,0.057098973,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_novel_594_18964,ENSG00000162624,LHX8,novel_594,18964,29.91083438,Up-regulated,2.79e-10,-15.87845051,Down-regulated,0.057098973,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-223-3p_18962,ENSG00000162624,LHX8,hsa-miR-223-3p,18962,29.91083438,Up-regulated,2.79e-10,0.58831944,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-223-3p_18963,ENSG00000162624,LHX8,hsa-miR-223-3p,18963,29.91083438,Up-regulated,2.79e-10,0.58831944,Up-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-223-3p_18964,ENSG00000162624,LHX8,hsa-miR-223-3p,18964,29.91083438,Up-regulated,2.79e-10,0.58831944,Up-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-373-3p_18962,ENSG00000162624,LHX8,hsa-miR-373-3p,18962,29.91083438,Up-regulated,2.79e-10,-1.206470126,Down-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-373-3p_18963,ENSG00000162624,LHX8,hsa-miR-373-3p,18963,29.91083438,Up-regulated,2.79e-10,-1.206470126,Down-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-373-3p_18964,ENSG00000162624,LHX8,hsa-miR-373-3p,18964,29.91083438,Up-regulated,2.79e-10,-1.206470126,Down-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-574-3p_18962,ENSG00000162624,LHX8,hsa-miR-574-3p,18962,29.91083438,Up-regulated,2.79e-10,0.721988755,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-574-3p_18963,ENSG00000162624,LHX8,hsa-miR-574-3p,18963,29.91083438,Up-regulated,2.79e-10,0.721988755,Up-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-574-3p_18964,ENSG00000162624,LHX8,hsa-miR-574-3p,18964,29.91083438,Up-regulated,2.79e-10,0.721988755,Up-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_novel_1090_18962,ENSG00000162624,LHX8,novel_1090,18962,29.91083438,Up-regulated,2.79e-10,-10.8448253,Down-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_novel_1090_18963,ENSG00000162624,LHX8,novel_1090,18963,29.91083438,Up-regulated,2.79e-10,-10.8448253,Down-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_novel_1090_18964,ENSG00000162624,LHX8,novel_1090,18964,29.91083438,Up-regulated,2.79e-10,-10.8448253,Down-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-519d-5p_18962,ENSG00000162624,LHX8,hsa-miR-519d-5p,18962,29.91083438,Up-regulated,2.79e-10,-0.486076572,Down-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-519d-5p_18963,ENSG00000162624,LHX8,hsa-miR-519d-5p,18963,29.91083438,Up-regulated,2.79e-10,-0.486076572,Down-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-519d-5p_18964,ENSG00000162624,LHX8,hsa-miR-519d-5p,18964,29.91083438,Up-regulated,2.79e-10,-0.486076572,Down-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-1299_18962,ENSG00000162624,LHX8,hsa-miR-1299,18962,29.91083438,Up-regulated,2.79e-10,-1.857076456,Down-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-1299_18963,ENSG00000162624,LHX8,hsa-miR-1299,18963,29.91083438,Up-regulated,2.79e-10,-1.857076456,Down-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-1299_18964,ENSG00000162624,LHX8,hsa-miR-1299,18964,29.91083438,Up-regulated,2.79e-10,-1.857076456,Down-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-4784_18962,ENSG00000162624,LHX8,hsa-miR-4784,18962,29.91083438,Up-regulated,2.79e-10,10.3587968,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-4784_18963,ENSG00000162624,LHX8,hsa-miR-4784,18963,29.91083438,Up-regulated,2.79e-10,10.3587968,Up-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-4784_18964,ENSG00000162624,LHX8,hsa-miR-4784,18964,29.91083438,Up-regulated,2.79e-10,10.3587968,Up-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
