Gene,p_value,effect_size
A1BG,0.5278780660711861,0.23765076191358814
A1BG-AS1,0.8178430678956677,0.08642872651854303
A2M-AS1,0.3579897520894465,0.3475202505750805
A2ML1,0.45551843591342134,0.28136497565306773
A2ML1-AS1,0.7794994074479908,0.1050856920335424
A4GALT,0.5169911559690519,0.2440029726112095
AAAS,0.9270095675791878,0.03436188008779791
AACS,0.5040470031918699,0.2516516316319638
AACSP1,0.6141024239141084,0.1895719699944261
AADACL2-AS1,0.9639957300315563,0.016930875467539595
AADACL4,0.901363925025652,0.046492065363079565
AADAT,0.5946855657140684,0.20009026644475678
AAK1,0.811419168497556,0.08953743254548069
AAMDC,0.0462046902038261,0.7765292786270892
AAMP,0.3503455095813097,0.353175298352247
AANAT,0.16248351282895548,0.5336403456823555
AARS1,0.31079793298913794,0.3838510667771575
AARSD1,0.3789782944226999,0.332393269599838
AATBC,0.7445354629514847,0.12233911517829779
AATF,0.6390319412977062,0.17629109739192333
AATK,0.5121848584919597,0.24683052793425914
ABAT,0.10571556259403878,0.6220078511380467
ABCA11P,0.31548562122426405,0.3800796531629101
ABCA12,0.01908857069667744,0.9264948359518778
ABCA13,0.36900302248454664,0.3395121300307591
ABCA15P,0.1754103227006298,0.5171262004702165
ABCA17P,0.20091762987303619,0.48716218399686123
ABCA2,0.33725755829503345,0.3630529447610077
ABCA3,0.9779819396680349,0.010351586528911681
ABCA7,0.0017940839251273516,1.2870690023998745
ABCA9-AS1,0.1892015833319871,0.5005332436456599
ABCB10,0.582277433540457,0.20689850173978744
ABCB10P1,0.08507598732133909,0.6642830705616992
ABCB4,0.28520936784915624,0.4051741197683167
ABCB6,0.3773898302592662,0.33351862267417126
ABCB8,0.4768048326261898,0.2681172813080512
ABCB9,0.7799657636405343,0.1048572219219111
ABCC1,0.23500601686580816,0.45138809851896294
ABCC10,0.4770579630799242,0.26796184358692654
ABCC11,0.27159699702882145,0.4170771727900421
ABCC12,0.6875407991776012,0.15107994624969956
ABCC3,0.1511596390098689,0.5489903912669282
ABCC8,0.19051464064698714,0.49900326755565794
ABCD1,0.6724175134611128,0.15885777263888273
ABCD4,0.436078181278982,0.29378903006049606
ABCF1,0.9228736490199392,0.03631522163735116
ABCF2P2,0.7213176639853704,0.13394623395096558
ABCF3,0.5126396933670692,0.24656232459895708
ABCG1,0.6473753294560884,0.17189832605633004
ABCG4,0.48034590206954964,0.2659471582843639
ABCG5,0.019838471384499432,0.9201970555929807
ABCG8,0.13476368873275088,0.5729487159350475
ABHD1,0.010590596051120876,1.0206412790760349
ABHD11,0.7751008826994294,0.10724258534588837
ABHD12,0.16567438352273406,0.5294696904951627
ABHD12B,0.37465082702335384,0.33546634852148416
ABHD13,0.45183350594764604,0.28369516849092574
ABHD14A,0.1227215448154414,0.5921094080124817
ABHD14A-ACY1,0.9594450754128915,0.019072644013660826
ABHD14B,0.5216862294840192,0.24125470534664895
ABHD16A,0.08219568978916202,0.6708605686896636
ABHD16B,0.22687932811549497,0.4595404813414195
ABHD17A,0.7595796570442754,0.11488418306618889
ABHD17AP1,0.1819230888512952,0.5091676418362129
ABHD17AP3,0.8731960862716649,0.05987519082756618
ABHD17AP4,0.0971573943991487,0.6386072908856129
ABHD17AP5,0.4805152618889651,0.2658435986462075
ABHD18,0.7604666438298979,0.11444616756527647
ABHD3,0.09474963264049281,0.6434992594584923
ABHD8,0.7335218351538604,0.12782900869926872
ABI3,0.32627811092688797,0.37154190734442183
ABITRAM,0.2597159907446528,0.4278241548082367
ABL1,0.9349629093264413,0.03060833404183158
ABL2,0.18058676258511888,0.5107821636370126
ABLIM1,0.13767708718903987,0.5685247515859968
ABLIM2,0.5398176437272695,0.23076488889949204
ABLIM3,0.5886286053218146,0.20340491856687523
ABO,0.6344312542649048,0.17872418747308316
ABR,0.3905900108577518,0.32425825265627434
ABRA,0.0005546264352165717,1.4546830915950515
ABRAXAS2,0.37716268593847324,0.3336797956423091
ABTB1,0.5160150645229963,0.2445760384380359
ABTB2,0.498084380381682,0.2552116387805847
ACACA,0.38236578557945966,0.3300035834038479
ACACB,0.5446897217599376,0.22797827198682596
ACAD10,0.04235767940676951,0.7918545003211352
ACAD8,0.976151869424946,0.011212237456087973
ACAD9,0.7178723372963156,0.13567989962159754
ACADM,0.6217239522177354,0.18548603896494495
ACADVL,0.470173958897968,0.27220622142067186
ACAP1,0.8837072747689844,0.054872654925076605
ACAP2,0.6583919792401144,0.166135594425488
ACAP3,0.6907769123405407,0.14942457074661644
ACAT1,0.2692387852944736,0.41918272902158765
ACAT2,0.28435779362262553,0.40590666256391433
ACBD3,0.8568490164674342,0.06767792189972921
ACBD4,0.647881799557072,0.1716324711113197
ACBD7,0.18400865755046578,0.5066663662835906
ACCS,0.9096980978175353,0.0425450828695738
ACCSL,0.6938422263404376,0.14785937888970427
ACCSLP1,0.623790000704952,0.1843824013164265
ACD,0.8167814428766083,0.08694203921495909
ACE,0.08526983750033396,0.6638472621268274
ACER1,0.410438014749578,0.3107040847882541
ACER2,0.9832296543182817,0.007883978243084927
ACER3,0.4018456915322123,0.3165195453126405
ACHE,0.7973531180455653,0.09636743310255584
ACIN1,0.7352453535039373,0.12696802524146492
ACKR2,0.3580212111688945,0.34749714488262956
ACKR3,0.7542151222946697,0.11753686358747818
ACLY,0.32829127380762313,0.3699709304488715
ACO2,0.8456772522096838,0.07302800951850172
ACOT11,0.5608145586364288,0.21884714352699022
ACOT13,0.6487760724598409,0.17116327223445402
ACOT2,0.7270675110232794,0.13105961375225744
ACOT6,0.16372139134905878,0.5320146925113866
ACOT7,0.5214783491474779,0.2413761026264483
ACOT8,0.9054408385829666,0.04456062850571432
